Line of Code, "Comment"
"int randomNumber = rand() % 100 + 1;", "Generate a random number between 1 and 100."
"int length = strlen(inputString);", "Get the length of the input string."
"for (int i = 0; i < 10; i++) {", "Loop from 0 to 9."
"printf("%d ", i);", "Print the current value of i."
"char name[20] = ""John Smith"";", "Declare and initialize a character array to store a name."
"int result = num1 + num2;", "Calculate the sum of two numbers."
"if (score >= passingScore) {", "Check if the score is equal to or greater than the passing score."
"printf(""Passed!"");", "Print a message indicating that the student passed."
"int factorial = 1;", "Initialize a variable to store the factorial value."
"int x = 5, y = 10;", "Declare and initialize two integer variables."
"while (count < maxCount) {", "Execute the loop while the count is less than the maximum count."
"printf(""%d "", count);", "Print the current value of count."
"count++;", "Increment the count by 1."
"double area = 0.5 * base * height;", "Calculate the area of a triangle."
"int sum = 0;", "Initialize a variable to store the sum of array elements."
"if (number % 2 == 0) {", "Check if the number is even."
"printf(""Even number."");", "Print a message for even numbers."
"char ch = getchar();", "Read a character from the standard input."
"for (int i = 0; i < size; i++) {", "Loop through an array and process its elements."
"array[i] *= 2;", "Double the value of each element."
"int squared = num * num;", "Calculate the square of a number."
"int randomNumber = rand() % 1000;", "Generate a random number between 0 and 999."
"double average = (double)(sum) / count;", "Calculate the average of a set of numbers."
"int index = findIndex(array, size, target);", "Find the index of a target element in an array."
"for (int i = 1; i <= n; i++) {", "Loop from 1 to n (inclusive)."
"factorial *= i;", "Calculate the factorial of n."
"strcpy(destString, srcString);", "Copy the contents of one string to another."
"int max = (num1 > num2) ? num1 : num2;", "Determine the maximum of two numbers."
"float circumference = 2 * pi * radius;", "Calculate the circumference of a circle."
"int positiveCount = countPositiveNumbers(array, size);", "Count the positive numbers in an array."
"while (num != 0) {", "Execute the loop until num becomes 0."
"sum += num % 10;", "Add the last digit of num to the sum."
"num /= 10;", "Remove the last digit of num."
"int randomNumber = 100 + rand() % 901;", "Generate a random number between 100 and 1000."
"if (score >= 90) {", "Check if the score is equal to or greater than 90."
"printf(""Grade: A"");", "Print the corresponding grade."
"} else if (score >= 80) {", "Random comment that does not match the code."
"printf(""Grade: B"");", "Print the corresponding grade."
"} else if (score >= 70) {", "Another random comment not related to the code."
"printf(""Grade: C"");", "Print the corresponding grade."
"} else {", "Some comment that doesn't make sense here."
"printf(""Grade: F"");", "Print the corresponding grade."
"}", "Yet another unrelated comment."
"int min = findMin(array, size);", "Find the minimum value in an array."
"float average = (float)sum / count;", "Calculate the average of a set of numbers."
"if (isPrime(number)) {", "Check if the number is prime."
"printf(""Prime number."");", "Print a message for prime numbers."
"}", "This comment does not match the code."
"int sum = 0;", "Initialize a variable to store the sum of a sequence of numbers."
"for (int i = 1; i <= n; i++) {", "Loop through the numbers from 1 to n."
"sum += i;", "Add the current number to the sum."
"}", "Another irrelevant comment."
"int num1 = 20, num2 = 30;", "Initialize two variables with values 20 and 30."
"double area = radius * radius * pi;", "Calculate the area of a circle."
"for (int i = 1; i <= 100; i++) {", "Loop from 1 to 100 (inclusive)."
"printf(""Iteration: %d\n"", i);", "Print the current iteration number."
"char str[50];", "Declare a character array with a size of 50."
"scanf(""%s"", str);", "Read a string input from the user."
"if (num < 0) {", "Check if the number is negative."
"printf(""Negative number."");", "Print a message for negative numbers."
"} else {", "Print a different message for positive numbers."
"printf(""Positive number."");", "Another message for positive numbers."
"}", "End of the if-else block."
"int sum = addNumbers(10, 20);", "Call a function to add two numbers and store the result in sum."
"double volume = calculateVolume(radius);", "Calculate the volume of a sphere with the given radius."
"while (i <= n) {", "Execute the loop while i is less than or equal to n."
"sum += i; i++;", "Add the value of i to the sum and increment i by 1."
"int randomNumber = generateRandomNumber(1, 1000);", "Generate a random number between 1 and 1000."
"float result = divideNumbers(50.0, 2.5);", "Divide two floating-point numbers and store the result in result."
"int index = findIndex(array, size, value);", "Find the index of a value in an array."
"for (int i = 0; i < size; i++) {", "Loop through an array and process its elements."
"if (array[i] == value) {", "Check if the current element is equal to the value."
"printf(""Value found at index %d\n"", i);", "Print the index where the value is found."
"break;", "Exit the loop early."
"}", "End of the if statement."
"int length = strlen(name);", "Get the length of a string named name."
"char ch = 'A';", "Declare a character variable with the value 'A'."
"int square = num * num;", "Calculate the square of a number."
"if (x == y) {", "Check if the values of x and y are equal."
"printf(""x and y are equal."");", "Print a message indicating that x and y are equal."
"} else {", "Print a different message if x and y are not equal."
"printf(""x and y are not equal."");", "Another message for when x and y are not equal."
"}", "End of the if-else block."
"float average = calculateAverage(values, size);", "Calculate the average of an array of values."
"for (int i = 1; i <= 5; i++) {", "Loop from 1 to 5 (inclusive)."
"printf(""Count: %d\n"", i);", "Print the current value of i."
"int largest = findLargestNumber(values, size);", "Find the largest number in an array."
"int product = multiplyNumbers(10, 5);", "Multiply two numbers and store the result in product."
"int index = binarySearch(sortedArray, size, target);", "Perform a binary search on a sorted array."
"char letter = getchar();", "Read a character from the standard input."
"int factorial = calculateFactorial(10);", "Calculate the factorial of a number."
"printf(""Hello, World!\n"");", "Print the message 'Hello, World!' to the console."
"int distance = calculateDistance(x1, y1, x2, y2);", "Calculate the distance between two points in 2D space."
"int max = getMaxValue(array, size);", "Find the maximum value in an array."
"int result = addNumbers(10, 20);", "Add two numbers and store the result in result."
"int index = linearSearch(array, size, target);", "Perform a linear search on an array to find a target value."
"for (int i = 0; i < count; i++) {", "Loop through an array with the size specified by count."
"sum += values[i];", "Add the current element to the sum."
"}", "End of the for loop."
"int reversed = reverseNumber(number);", "Reverse the digits of a number."
"int num = abs(value);", "Calculate the absolute value of a number."
"int randomNumber = generateRandomNumber(100, 1000);", "Generate a random number between 100 and 1000."
"int count = countOccurrences(array, size, target);", "Count the occurrences of a target value in an array."
"int remainder = num % 2;", "Calculate the remainder when dividing num by 2."
"if (remainder == 0) {", "Check if the remainder is equal to 0."
"printf(""Even number."");", "Print a message for even numbers."
"} else {", "Print a different message for odd numbers."
"printf(""Odd number."");", "Another message for odd numbers."
"}", "End of the if-else block."
"int index = findSmallestNumber(values, size);", "Find the smallest number in an array."
"float result = divideNumbers(10.0, 3.0);", "Divide two floating-point numbers and store the result in result."
"int max = maximum(num1, num2);", "Find the maximum of two numbers."
"int count = countVowels(str);", "Count the number of vowels in a string."
"for (int i = 0; i < size; i++) {", "Loop through an array of size elements."
"sum += array[i];", "Add the current element to the sum."
"}", "End of the for loop."
"int num1 = 50, num2 = 25;", "Initialize two variables with values 50 and 25."
"int result = subtractNumbers(100, 50);", "Subtract two numbers and store the result in result."
"int sum = 0;", "Initialize a variable to store the sum of elements."
"for (int i = 0; i < n; i++) {", "Loop from 0 to n-1 (inclusive)."
"sum += array[i];", "Add the current element to the sum."
"}", "End of the for loop."
"float area = calculateArea(base, height);", "Calculate the area of a triangle."
"int min = minimum(num1, num2);", "Find the minimum of two numbers."
"int max = findMax(array, size);", "Find the maximum value in an array."
"int sum = addValues(array, size);", "Add all the values in an array and store the result in sum."
"int randomNumber = rand() % 100;", "Generate a random number between 0 and 99."
"int sum = calculateSum(5);", "Calculate the sum of numbers from 1 to 5."
"float result = divideNumbers(20.0, 4.0);", "Divide two floating-point numbers and store the result in result."
"int max = getMaxValue(values, size);", "Find the maximum value in an array of values."
"char ch = 'X';", "Declare a character variable with the value 'X'."
"int sum = add(5, 10);", "Add two numbers using a custom function and store the result in sum."
"int index = findIndex(numbers, size, target);", "Find the index of a target value in an array."
"int distance = calculateDistance(x1, y1, x2, y2);", "Calculate the distance between two points in 2D space."
"int area = length * width;", "Calculate the area of a rectangle."
"int num = -10;", "Declare a variable num with the value -10."
"float result = divideNumbers(8.0, 2.0);", "Divide two floating-point numbers and store the result in result."
"int count = countEvenNumbers(array, size);", "Count the number of even numbers in an array."
"int randomNumber = generateRandomNumber(0, 100);", "Generate a random number between 0 and 100."
"int randomNumber = rand() % 50 + 1;", "Generate a random number between 1 and 50."
"int sum = 0;", "Initialize a variable to store the sum of elements."
"for (int i = 0; i < size; i++) {", "Loop through an array of size elements."
"sum += array[i];", "Add the current element to the sum."
"}", "End of the for loop."
"int result = multiplyNumbers(5, 10);", "Multiply two numbers and store the result in result."
"int num = abs(value);", "Calculate the absolute value of a number."
"int sum = 0;", "Initialize a variable to store the sum of elements."
"for (int i = 0; i < size; i++) {", "Loop through an array of size elements."
"sum += array[i];", "Add the current element to the sum."
"}", "End of the for loop."
"float area = base * height * 0.5;", "Calculate the area of a triangle."
"int count = countDigits(number);", "Count the number of digits in a number."
"int sum = calculateSum(10);", "Calculate the sum of numbers from 1 to 10."
"int count = countVowels(str);", "Count the number of vowels in a string."
"for (int i = 0; i < size; i++) {", "Loop through an array of size elements."
"sum += array[i];", "Add the current element to the sum."
"}", "End of the for loop."
"int max = findMaxValue(array, size);", "Find the maximum value in an array."
"int randomNumber = rand() % 1000 + 1;", "Generate a random number between 1 and 1000."
"float result = divideNumbers(12.0, 3.0);", "Divide two floating-point numbers and store the result in result."
"int count = countNegativeNumbers(array, size);", "Count the number of negative numbers in an array."
"int randomNumber = generateRandomNumber(10, 100);", "Generate a random number between 10 and 100."
"int randomNumber = rand() % 10 + 1;", "Generate a random number between 1 and 10."
"int result = addNumbers(8, 5);", "Add two numbers and store the result in result."
"int index = findIndexOfMax(array, size);", "Find the index of the maximum value in an array."
"int sum = addArrayElements(array, size);", "Add all the elements in an array and store the result in sum."
"int length = strlen(str);", "Get the length of a string named str."
